":START_ID",":END_ID","relation",":TYPE"
"Minutes","e6083588da3252c0b37501e61ae047082cb91171fac07e9b68d219f9e9d9f786","has_concept","Concept"
"Minutes","f40d2ba40494c39d90e673688bbd1c5242ab60ccd87288cc180d5cad489844d9","has_concept","Concept"
"Minutes","a66e401e4d6cd68d549a09633fa070f6963b02307022d48953685ac0844891b3","has_concept","Concept"
"Minutes","d813b42d94e936ff5c6b57833bffd79ad27b811c490c77cd317169c2ef33635f","has_concept","Concept"
"Strip Module Meeting","b886c9fa9efe719d355df6639f7538f6428438cb27ae9084e2e0c210b8b4e1d9","has_concept","Concept"
"Strip Module Meeting","6a6d182831bf4947b9e72dfbb6a28130fa791e766ba1d699d375e7faa9c61394","has_concept","Concept"
"Strip Module Meeting","8aba2579529ecf9376ca1cf3339c0735f8b43dbe26659e94815b6b2729853805","has_concept","Concept"
"Strip Module Meeting","918663674f1491b7bd431eee78169b3ea8b75c131372f8e1afc92d5d9349599a","has_concept","Concept"
"Actions","3b555f64e2e09c8340c7030b6bd0ceaeea9600b5d9fec4533c4b48e8c0d15c0d","has_concept","Concept"
"Actions","dd602e28cfa0da798bfb8df345e3fdef2360a72a5ca8f14aaf9d6deaa61108ee","has_concept","Concept"
"Actions","c0adee904da91da7a4e07247d05df80475f39088702674eb96ec7169f059c98e","has_concept","Concept"
"Actions","cd2dac9ff6c55a88fc7a5f7ce70e25305261238d15656f18011f1124b99a878e","has_concept","Concept"
"over","3b555f64e2e09c8340c7030b6bd0ceaeea9600b5d9fec4533c4b48e8c0d15c0d","has_concept","Concept"
"over","e56ab7e6bdaa95aa51095796b9a224a83c7f26d16bb917f9fe8982a173ea3045","has_concept","Concept"
"over","d1726146484d9c07aac1bbca034130219c5c35567b972340491f2ba94a9a3ab7","has_concept","Concept"
"document","8cd0abe66f9b2eac86061e484beaa7a1a1445318bebdec9e8dfb89ec6e3f1f7c","has_concept","Concept"
"document","aba9e9868d1f1c92e35fb67655b16f7c1f0d7662ae246db57902ce1110970c9e","has_concept","Concept"
"document","33978b8cd4ea946c230ded7c098b0998f1b30f10120c1de9865300ff5ad82cfb","has_concept","Concept"
"coils","98e5edf7ebd5c7798e09313daf0289d6203bf48526d4923ea4c1196988018a55","has_concept","Concept"
"coils","1ac79bedf0839abaace7baf905536993d96bf9e442c4fc223999e5fb4b1d382f","has_concept","Concept"
"coils","a2994f4632adedd87fa7ed86847a8c151c1d79749b8688a1f8af36e1dffeff59","has_concept","Concept"
"coils","d67df86b342884fe72b849f1a3e1aa4638447bf002dee604d64056389f97eb75","has_concept","Concept"
"coils","21a7ba20a9a5faa03e606438bdfb80edf9c700dcac19b7ee78b00857e64ec4d5","has_concept","Concept"
"brief","8cd0abe66f9b2eac86061e484beaa7a1a1445318bebdec9e8dfb89ec6e3f1f7c","has_concept","Concept"
"brief","b96cb1c1003e41e5d515745df5e20bb40023f31af694d8c0138f22cc27868b40","has_concept","Concept"
"brief","22ef933a83f0de20adf15a346bb71baa64a127825c87fa3b507b055622f46d71","has_concept","Concept"
"HV tab bonding","568758596605e31b84cb40d1b35c52d71d812c694b86ea1671042b1416923ead","has_concept","Concept"
"HV tab bonding","4571faab4338f717501abab5c86b6ffd73a9e1f665840a342d58e8dbdeb2ac95","has_concept","Concept"
"HV tab bonding","0e3ac9892b36c0b0912c5a6f2a9465012fb182cd013234f667f1361616c77905","has_concept","Concept"
"HV tab bonding","44eb7040aa32b7691faf013d0f09e9a72d06e18a52ff6be05749ef39c5d0bf3b","has_concept","Concept"
"update","05993b70fb3cfe8764221b15f8aaa151022da09204d138ef3928275c2bc795f8","has_concept","Concept"
"update","9af1a6405bca227101f69fea8b90efafaf8e8afc3f49fcdc9097a07c19508233","has_concept","Concept"
"update","a55108a840d1095eba2e0d7833f5dbeb60585ca12faa7cc39b0bcbe9e875dc89","has_concept","Concept"
"update","b35e8d561db50ebd61b37db34a0a22c3331de59173abe80ea8d5290184920227","has_concept","Concept"
"03/02/2020","ad254d23eb4605ec82120ac71eb8e0618eafb285f8178aac7b9fadd9c023f8cd","has_concept","Concept"
"03/02/2020","f40d2ba40494c39d90e673688bbd1c5242ab60ccd87288cc180d5cad489844d9","has_concept","Concept"
"03/02/2020","de43418876ebd131357e98eb899ed88428aef4c4214e29e712394c6725937291","has_concept","Concept"
"03/02/2020","ad254d23eb4605ec82120ac71eb8e0618eafb285f8178aac7b9fadd9c023f8cd","has_concept","Concept"
"roll-out","cf903a1855c521532090513271c80a25e8c445f287baebe349c9d398e92cb77e","has_concept","Concept"
"roll-out","af3c5c7c0263fa1ecd6c676082b4d4a2e773d96468a5d6517e85b97f00b9911f","has_concept","Concept"
"roll-out","224c540118f34355550f8ce2f41be6cae5bfff0a6ff61429e7ec994886641a27","has_concept","Concept"
"Hybrid crate","1ba68c67752a0a81364d01903383be84fafe1cff55e5e531c8d9f203060047bd","has_concept","Concept"
"Hybrid crate","cf1ac02fc1dbc5b8cb2b25553aa43e6d76e05a6087a955a313e12416024f9969","has_concept","Concept"
"Hybrid crate","efa89a2b61e67a4d9f91ad68f8ca3c1b7f40b2306636e2961d290e96887134bd","has_concept","Concept"
"responsible","a7939a32c9edde313f62abb5af2cd32a25bd66df27ca3c8a3780cd2c947d8816","has_concept","Concept"
"responsible","117445d535fba768094091aa34514304f539f5927c3e275e5bfbeaf0ea79111c","has_concept","Concept"
"responsible","107147378b8af3671376633d5f630fdcd731bc9008033c94fe6cf33ff71cf339","has_concept","Concept"
"Dave/Ankush/Sergio","e9b52e83a2497e9656a7b6030ddf5175d54c4f991cacebd04f074ae42e103c3e","has_concept","Concept"
"Dave/Ankush/Sergio","7c4c46234a0794aeed7858a77e90b3648eff198437306f5b730de42606a45e7e","has_concept","Concept"
"Dave/Ankush/Sergio","6cdb5bffbef8eeb4ad66af788e47e480a6beb095657972a4f2bb985909b903d9","has_concept","Concept"
"Dave/Ankush/Sergio","de7caeebd9e5cef572bcde4a7dc7fb589307c9321d29f0df093732ac47b52685","has_concept","Concept"
"Dave/Ankush/Sergio","36ab9cf1a664dceaf11948ff5989281c3476d986af6f459594e7199679f1f5dd","has_concept","Concept"
"updates","959949f912e35a31a62c759854cdb4e0ffd7381ddb485d9b120e9dc30a42b247","has_concept","Concept"
"updates","d1f69a4bb51c294587f2ba362189d438515fa63d875186de8a9993e20886c5e0","has_concept","Concept"
"updates","882f59542ebc04cfff69ef0d4bd7767dd748c3d4174c704915bf367956b9d048","has_concept","Concept"
"Craig & Ingo","5f885c4e09f2915fa5dcac1911aa0891094c1fa8313ff866d1a5dab7178b021c","has_concept","Concept"
"Craig & Ingo","af8ea05e0db7511525c663a46a8d7f3d6c122e6735620799e5d0e0879197c3e0","has_concept","Concept"
"Craig & Ingo","89a608e066fba7bb1042891ebc25898deb62f51a27f31b2688ff1a7a1f278928","has_concept","Concept"
"Craig & Ingo","d1235a412aed6b20cba36e69b6cff998f0f30868bf511c446085a494ad205ca2","has_concept","Concept"
"meeting","918663674f1491b7bd431eee78169b3ea8b75c131372f8e1afc92d5d9349599a","has_concept","Concept"
"meeting","e51617c4d937303ef7f6aad5f7b68f03d747067536207cc7eb2b3ded47ccfb71","has_concept","Concept"
"meeting","b886c9fa9efe719d355df6639f7538f6428438cb27ae9084e2e0c210b8b4e1d9","has_concept","Concept"
"meeting","8aba2579529ecf9376ca1cf3339c0735f8b43dbe26659e94815b6b2729853805","has_concept","Concept"
"Introduction","75cfc9ba1a2f4c7b416054bbbb9278ccbf526292e88b3f28e288941731dd6c00","has_concept","Concept"
"Introduction","275b710570d05cda49edf922a7dcf7f76d212c43aacffe56d61fc1a57cb6e3dd","has_concept","Concept"
"tutorial","bcd5f093cfc015b7345e9fa1d2e573b068fdcefec87e0958d46c2556d3c00594","has_concept","Concept"
"tutorial","29ff76c48c59809fa581199252a7b5a37daa488110455c9e1e38a8cf69b476e6","has_concept","Concept"
"uploading test results to the database","4571faab4338f717501abab5c86b6ffd73a9e1f665840a342d58e8dbdeb2ac95","has_concept","Concept"
"uploading test results to the database","ed1525e4643634690facec469661927dfa2369d5957716107406cef72c676da0","has_concept","Concept"
"uploading test results to the database","57a498bd8b4557e41cb00d442c4029d7bd79830f5f2205b623bf313a6782297f","has_concept","Concept"
"uploading test results to the database","fe3fd2de2494022da75f3bd194a96f7ee8278b913fd0d130a8720d09184e1c57","has_concept","Concept"
"uploading test results to the database","bd3b60a22df0715336e687390ae830f94def9d1286fbbc0ecaabe48624937fdf","has_concept","Concept"
"You must contact the people listed as responsible periodically.","8ed04ed41a85892fc57934808724c9f05a580fa6bec690050c230fec35166396","has_concept","Concept"
"You must contact the people listed as responsible periodically.","d21760cb02b8f7ee9d47dd17e0826fada79f6a9edfa979124c2354f9e19be57b","has_concept","Concept"
"You must contact the people listed as responsible periodically.","2db00ab0702b22bce6b58b1ff7df66885fe41efd41e1aa6f06136a9a77dca899","has_concept","Concept"
"You must contact the people listed as responsible periodically.","f0b92eeefbd422b2a946369b5c7436e0978dbc3c836b06549239ccc39550a5bd","has_concept","Concept"
"You must contact the people listed as responsible periodically.","a55b5db93b0deec05830ac1e6ea1ef8d7a787c78f836cdf619c1a72ba007e3bb","has_concept","Concept"
"Updates could be verbal, email or slides in a meeting","83f3b05659b1f63a829ec68723e78bd9c61183d6391bae93fda47041806f0c87","has_concept","Concept"
"Updates could be verbal, email or slides in a meeting","912d893f3ae1547a25d06b2c256ee2f9532ea25538f36bb5bda620be8c021dc9","has_concept","Concept"
"Updates could be verbal, email or slides in a meeting","53e6d41e113061fc034b00554981f30c1ce31305a1ebd09374c7ef3cfd9e000c","has_concept","Concept"
"Updates could be verbal, email or slides in a meeting","49d411870e9ef5c4727f7c9ea7e5b4eddbbbf8b3d43a9af7258c9d1358a0e16b","has_concept","Concept"
"Updates could be verbal, email or slides in a meeting","958f7a39200d87acaa93893a9f852009e82faee303700f1f6e7af9f33f7ca02e","has_concept","Concept"
"Updates could be verbal, email or slides in a meeting.","83f3b05659b1f63a829ec68723e78bd9c61183d6391bae93fda47041806f0c87","has_concept","Concept"
"Updates could be verbal, email or slides in a meeting.","46c3207f87220d3919f4ec3d613319bfbf6f8f0fe8a5b4edfa1b724a629c0659","has_concept","Concept"
"Updates could be verbal, email or slides in a meeting.","958f7a39200d87acaa93893a9f852009e82faee303700f1f6e7af9f33f7ca02e","has_concept","Concept"
"Updates could be verbal, email or slides in a meeting.","49d411870e9ef5c4727f7c9ea7e5b4eddbbbf8b3d43a9af7258c9d1358a0e16b","has_concept","Concept"
"People listed as responsible will be contacted periodically by Craig & Ingo for updates","8ed04ed41a85892fc57934808724c9f05a580fa6bec690050c230fec35166396","has_concept","Concept"
"People listed as responsible will be contacted periodically by Craig & Ingo for updates","f0b92eeefbd422b2a946369b5c7436e0978dbc3c836b06549239ccc39550a5bd","has_concept","Concept"
"People listed as responsible will be contacted periodically by Craig & Ingo for updates","49d411870e9ef5c4727f7c9ea7e5b4eddbbbf8b3d43a9af7258c9d1358a0e16b","has_concept","Concept"
"People listed as responsible will be contacted periodically by Craig & Ingo for updates","2db00ab0702b22bce6b58b1ff7df66885fe41efd41e1aa6f06136a9a77dca899","has_concept","Concept"
"People listed as responsible will be contacted periodically by Craig & Ingo for updates","703861a9316e9035b531524ddec743a3dc7490481d76e87c4ed72044bcf484cb","has_concept","Concept"
"People listed as responsible will be contacted periodically by Craig & Ingo for updates.","577ab531b62c643171ae2227b4a40cacaab7b6c9f6537392ead0e2f15869a750","has_concept","Concept"
"People listed as responsible will be contacted periodically by Craig & Ingo for updates.","49d411870e9ef5c4727f7c9ea7e5b4eddbbbf8b3d43a9af7258c9d1358a0e16b","has_concept","Concept"
"People listed as responsible will be contacted periodically by Craig & Ingo for updates.","f0b92eeefbd422b2a946369b5c7436e0978dbc3c836b06549239ccc39550a5bd","has_concept","Concept"
"People listed as responsible will be contacted periodically by Craig & Ingo for updates.","703861a9316e9035b531524ddec743a3dc7490481d76e87c4ed72044bcf484cb","has_concept","Concept"
"People listed as responsible will be contacted periodically by Craig & Ingo for updates.","1497e9072bdc25969b954031c19a7e073022e19f14a3769626799ab622c967b9","has_concept","Concept"
"Craig & Ingo will contact the people periodically.","f0b92eeefbd422b2a946369b5c7436e0978dbc3c836b06549239ccc39550a5bd","has_concept","Concept"
"Craig & Ingo will contact the people periodically.","49d411870e9ef5c4727f7c9ea7e5b4eddbbbf8b3d43a9af7258c9d1358a0e16b","has_concept","Concept"
"Craig & Ingo will contact the people periodically.","83f3b05659b1f63a829ec68723e78bd9c61183d6391bae93fda47041806f0c87","has_concept","Concept"
"Craig & Ingo will contact the people periodically.","a55b5db93b0deec05830ac1e6ea1ef8d7a787c78f836cdf619c1a72ba007e3bb","has_concept","Concept"
"Craig & Ingo will contact the people periodically.","8eeb7fea7cb6a807e6822888f003f23a851bf1a5a427b87248c330ed8b00ba6c","has_concept","Concept"
"The next update expected for HV tab bonding is 03/02/2020.","e1570abbf8ae7a0e7761be1ee9df7e697d2f4c0998f0bed5e6e5048c46974852","has_concept","Concept"
"The next update expected for HV tab bonding is 03/02/2020.","05993b70fb3cfe8764221b15f8aaa151022da09204d138ef3928275c2bc795f8","has_concept","Concept"
"The next update expected for HV tab bonding is 03/02/2020.","af3c5c7c0263fa1ecd6c676082b4d4a2e773d96468a5d6517e85b97f00b9911f","has_concept","Concept"
"The next update expected for HV tab bonding is 03/02/2020.","9af1a6405bca227101f69fea8b90efafaf8e8afc3f49fcdc9097a07c19508233","has_concept","Concept"
"The next update expected for HV tab bonding is 03/02/2020.","61fd53edbb3e8fd5243e46b44c43fd6d707aebfab1e004ea05d5faa44016b884","has_concept","Concept"
"Jens is responsible for HV tab bonding","27860a915a75982abc1e6f47e01492f5088daf234b1a2604fc24b441382cd12d","has_concept","Concept"
"Jens is responsible for HV tab bonding","2500419f16bbc2218d918bba42d4bfb2538dbf39b99a4258c46ae47b46d6ff04","has_concept","Concept"
"Jens is responsible for HV tab bonding","568758596605e31b84cb40d1b35c52d71d812c694b86ea1671042b1416923ead","has_concept","Concept"
"Jens is responsible for HV tab bonding","37e67da7f10029e684c1c96929c8434d3c494418113c5dad2fdfd1ed94ccb157","has_concept","Concept"
"Jens is responsible for HV tab bonding","7521fc50baeb2fd01ed191698549395ccacd9534cab785173f6415a678a483c1","has_concept","Concept"
"The next update expected for Hybrid crate roll-out is 03/02/2020.","05993b70fb3cfe8764221b15f8aaa151022da09204d138ef3928275c2bc795f8","has_concept","Concept"
"The next update expected for Hybrid crate roll-out is 03/02/2020.","e4fe169983dc863c6e3cb65ddcdb8ef553adbe810d9a0a3eaa860764a9dca9d6","has_concept","Concept"
"The next update expected for Hybrid crate roll-out is 03/02/2020.","af3c5c7c0263fa1ecd6c676082b4d4a2e773d96468a5d6517e85b97f00b9911f","has_concept","Concept"
"The next update expected for Hybrid crate roll-out is 03/02/2020.","224c540118f34355550f8ce2f41be6cae5bfff0a6ff61429e7ec994886641a27","has_concept","Concept"
"Ash is responsible for Hybrid crate roll-out","224c540118f34355550f8ce2f41be6cae5bfff0a6ff61429e7ec994886641a27","has_concept","Concept"
"Ash is responsible for Hybrid crate roll-out","1be072e80cda9f215bec899560553581091616623b2d51686aeace537014fc2b","has_concept","Concept"
"Ash is responsible for Hybrid crate roll-out","e4fe169983dc863c6e3cb65ddcdb8ef553adbe810d9a0a3eaa860764a9dca9d6","has_concept","Concept"
"Ash is responsible for Hybrid crate roll-out","53e3ad797fe675cd78d05226900f793efab95edd39002cd1c8f0d2e8fddf4839","has_concept","Concept"
"Ash is responsible for Hybrid crate roll-out","ca6f552b7acfed35cf7da22df4b493783a54b498794b9e45fe76532ac956590c","has_concept","Concept"
"The next update expected for Module thermal cycling roll-out is 03/02/2020.","af3c5c7c0263fa1ecd6c676082b4d4a2e773d96468a5d6517e85b97f00b9911f","has_concept","Concept"
"The next update expected for Module thermal cycling roll-out is 03/02/2020.","05993b70fb3cfe8764221b15f8aaa151022da09204d138ef3928275c2bc795f8","has_concept","Concept"
"The next update expected for Module thermal cycling roll-out is 03/02/2020.","e4fe169983dc863c6e3cb65ddcdb8ef553adbe810d9a0a3eaa860764a9dca9d6","has_concept","Concept"
"The next update expected for Module thermal cycling roll-out is 03/02/2020.","224c540118f34355550f8ce2f41be6cae5bfff0a6ff61429e7ec994886641a27","has_concept","Concept"
"The next update expected for Module thermal cycling roll-out is 03/02/2020.","68a5977054948d5223c94ae49537210b3cfb42b7ea24fd77fa4537bad797ffce","has_concept","Concept"
"Dave/Ankush/Sergio are responsible for Module thermal cycling roll-out","cf903a1855c521532090513271c80a25e8c445f287baebe349c9d398e92cb77e","has_concept","Concept"
"Dave/Ankush/Sergio are responsible for Module thermal cycling roll-out","224c540118f34355550f8ce2f41be6cae5bfff0a6ff61429e7ec994886641a27","has_concept","Concept"
"Dave/Ankush/Sergio are responsible for Module thermal cycling roll-out","e12913a6dd6692d975fbef7a7146b28e6df35e98f0ecaf4b77196b3ebe39cf3f","has_concept","Concept"
"Dave/Ankush/Sergio are responsible for Module thermal cycling roll-out","af3c5c7c0263fa1ecd6c676082b4d4a2e773d96468a5d6517e85b97f00b9911f","has_concept","Concept"
"Dave/Ankush/Sergio are responsible for Module thermal cycling roll-out","bae753a176c2857d369ffbcbf11fc2ffb3bb785ec0bdf556329aaae860cb259a","has_concept","Concept"
"The next update expected for Powerboard mass tester roll-out is 03/02/2020.","05993b70fb3cfe8764221b15f8aaa151022da09204d138ef3928275c2bc795f8","has_concept","Concept"
"The next update expected for Powerboard mass tester roll-out is 03/02/2020.","224c540118f34355550f8ce2f41be6cae5bfff0a6ff61429e7ec994886641a27","has_concept","Concept"
"The next update expected for Powerboard mass tester roll-out is 03/02/2020.","e4fe169983dc863c6e3cb65ddcdb8ef553adbe810d9a0a3eaa860764a9dca9d6","has_concept","Concept"
"The next update expected for Powerboard mass tester roll-out is 03/02/2020.","af3c5c7c0263fa1ecd6c676082b4d4a2e773d96468a5d6517e85b97f00b9911f","has_concept","Concept"
"Timon/Karol are responsible for Powerboard mass tester roll-out","cf903a1855c521532090513271c80a25e8c445f287baebe349c9d398e92cb77e","has_concept","Concept"
"Timon/Karol are responsible for Powerboard mass tester roll-out","224c540118f34355550f8ce2f41be6cae5bfff0a6ff61429e7ec994886641a27","has_concept","Concept"
"Timon/Karol are responsible for Powerboard mass tester roll-out","e12913a6dd6692d975fbef7a7146b28e6df35e98f0ecaf4b77196b3ebe39cf3f","has_concept","Concept"
"Timon/Karol are responsible for Powerboard mass tester roll-out","53e3ad797fe675cd78d05226900f793efab95edd39002cd1c8f0d2e8fddf4839","has_concept","Concept"
"Timon/Karol are responsible for Powerboard mass tester roll-out","bae753a176c2857d369ffbcbf11fc2ffb3bb785ec0bdf556329aaae860cb259a","has_concept","Concept"
"The next update expected for Barrel hybrid tendering is 03/02/2020.","05993b70fb3cfe8764221b15f8aaa151022da09204d138ef3928275c2bc795f8","has_concept","Concept"
"The next update expected for Barrel hybrid tendering is 03/02/2020.","af3c5c7c0263fa1ecd6c676082b4d4a2e773d96468a5d6517e85b97f00b9911f","has_concept","Concept"
"The next update expected for Barrel hybrid tendering is 03/02/2020.","e4fe169983dc863c6e3cb65ddcdb8ef553adbe810d9a0a3eaa860764a9dca9d6","has_concept","Concept"
"The next update expected for Barrel hybrid tendering is 03/02/2020.","3e4bd7ac6a8841a9aaa8173720173f9e8656edbb22d1483933757876594efc49","has_concept","Concept"
"Bart/Ash are responsible for Barrel hybrid tendering","9a07bb5dea22688734e8529b9d07fa6a2e19d13487c8a045a6cbf0338dba6d44","has_concept","Concept"
"Bart/Ash are responsible for Barrel hybrid tendering","900f8b2f3a9f71587c3695325d6d939e0fb769ce2cc58f65e8fe30a6929a8480","has_concept","Concept"
"Bart/Ash are responsible for Barrel hybrid tendering","a096bafeaf29b2a8373cec22a106dfbddafe9eb961e3b8b877262bafa53c4798","has_concept","Concept"
"Bart/Ash are responsible for Barrel hybrid tendering","bae753a176c2857d369ffbcbf11fc2ffb3bb785ec0bdf556329aaae860cb259a","has_concept","Concept"
"Bart/Ash are responsible for Barrel hybrid tendering","ca6f552b7acfed35cf7da22df4b493783a54b498794b9e45fe76532ac956590c","has_concept","Concept"
"The next update expected for Barrel powerboard tendering is 03/02/2020.","05993b70fb3cfe8764221b15f8aaa151022da09204d138ef3928275c2bc795f8","has_concept","Concept"
"The next update expected for Barrel powerboard tendering is 03/02/2020.","3e4bd7ac6a8841a9aaa8173720173f9e8656edbb22d1483933757876594efc49","has_concept","Concept"
"The next update expected for Barrel powerboard tendering is 03/02/2020.","68d2145843ed145a684d83a736949ffa86b5fec9ed9fcd616131a76a5aac7403","has_concept","Concept"
"The next update expected for Barrel powerboard tendering is 03/02/2020.","ad73975a39f4d312d61ba105a936862e92d53aae4030a12dfcf72728499b79e5","has_concept","Concept"
"The next update expected for Barrel powerboard tendering is 03/02/2020.","3e65bb29371a345542c5fea7854f853ea5eff8924220711f7772ed39be1511d2","has_concept","Concept"
"Carl/Timon are responsible for Barrel powerboard tendering","9a07bb5dea22688734e8529b9d07fa6a2e19d13487c8a045a6cbf0338dba6d44","has_concept","Concept"
"Carl/Timon are responsible for Barrel powerboard tendering","3e4bd7ac6a8841a9aaa8173720173f9e8656edbb22d1483933757876594efc49","has_concept","Concept"
"Carl/Timon are responsible for Barrel powerboard tendering","ad73975a39f4d312d61ba105a936862e92d53aae4030a12dfcf72728499b79e5","has_concept","Concept"
