Name,Type
side pocket,Entity
N2,Entity
Jens,Entity
irradiation,Entity
ITk week presenters,Entity
Strip Module Meeting Minutes,Entity
hybrid panel,Entity
Gerrit,Entity
Hybrid crate status,Entity
sensor,Entity
Dave/Ankush/Sergio,Entity
humidity indicators,Entity
Tony A,Entity
no questions,Entity
tutorial,Entity
be run,Entity
Barrel module frame,Entity
ITk week,Entity
Sarah & Kunlin,Entity
box,Entity
important,Entity
Barrel hybrids,Entity
Bob,Entity
module thermal cycling setup,Entity
vacuum sealing,Entity
transport frame,Entity
Carl,Entity
Christian,Entity
roll-out,Entity
quantity,Entity
coils,Entity
Luise,Entity
"EC 10,000",Entity
ATLAS,Entity
Updates,Entity
purchasing components,Entity
Barrel powerboard tendering,Entity
EDMS,Entity
Phil,Entity
google doc,Entity
Ingo,Entity
brief,Entity
Vitaliy,Entity
sealing,Entity
we,Entity
Electrical tests,Entity
hybrid crate setup,Entity
preproduction,Entity
do,Entity
Barrel hybrid tendering,Entity
trickier,Entity
Sarah,Entity
update,Entity
production,Entity
over,Entity
Timon,Entity
add,Entity
temperature range,Entity
Sergio,Entity
FMC-DP,Entity
Hybrid crate roll-out,Entity
production management,Entity
Karol,Entity
uploading test results to the database,Entity
clearance,Entity
QC document,Entity
meeting,Entity
Kambiz,Entity
QC steps,Entity
them,Entity
Dennis & Marc,Entity
labelling,Entity
samples,Entity
trickiness,Entity
barrel,Entity
Strip Module Meeting,Entity
minutes,Entity
document,Entity
validation,Entity
actions,Entity
Powerboard mass tester roll-out,Entity
responsible,Entity
module transport frame,Entity
Satish,Entity
Tony,Entity
overhead,Entity
Review office,Entity
single connector,Entity
US,Entity
holes,Entity
Minutes,Entity
Module thermal cycling roll-out,Entity
wire,Entity
isoprop,Entity
topics,Entity
CERN,Entity
sion Hongbo,Entity
powerboard mass tester,Entity
screw guidance,Entity
Bart,Entity
shipping box survey,Entity
EC hybrid/powerboard tendering,Entity
EC,Entity
FDR,Entity
assembly,Entity
Ulli,Entity
Prague,Entity
suction cups,Entity
Sven,Entity
DCDC coil order,Entity
Barrel tooling design finalisation/roll-out,Entity
injection moulding company,Entity
documents,Entity
pre-production,Entity
Instructions,Entity
UV LED driver,Entity
ribbing,Entity
previous commitment,Entity
mini display port,Entity
review office,Entity
sign-off,Entity
Dennis,Entity
BPOL v4,Entity
Craig & Ingo,Entity
schedule,Entity
SCIPP,Entity
