:START_ID,:END_ID,relation,concepts,synsets,:TYPE
Minutes,Strip Module Meeting,recorded,[],[],Relation
Actions,over,carried,[],[],Relation
document,coils,written,[],[],Relation
brief,HV tab bonding,watched,[],[],Relation
update,03/02/2020,expected,[],[],Relation
roll-out,Hybrid crate,planned,[],[],Relation
responsible,Dave/Ankush/Sergio,was,[],[],Relation
updates,Craig & Ingo,contacted,[],[],Relation
meeting,Introduction,held,[],[],Relation
tutorial,uploading test results to the database,given,[],[],Relation
You must contact the people listed as responsible periodically.,"Updates could be verbal, email or slides in a meeting",before,[],[],Relation
"Updates could be verbal, email or slides in a meeting.",People listed as responsible will be contacted periodically by Craig & Ingo for updates,at the same time,[],[],Relation
People listed as responsible will be contacted periodically by Craig & Ingo for updates.,"Updates could be verbal, email or slides in a meeting",because,[],[],Relation
Craig & Ingo will contact the people periodically.,You must contact the people listed as responsible periodically.,after,[],[],Relation
Craig & Ingo will contact the people periodically.,"Updates could be verbal, email or slides in a meeting",by,[],[],Relation
The next update expected for HV tab bonding is 03/02/2020.,Jens is responsible for HV tab bonding,after,[],[],Relation
The next update expected for Hybrid crate roll-out is 03/02/2020.,Ash is responsible for Hybrid crate roll-out,after,[],[],Relation
The next update expected for Module thermal cycling roll-out is 03/02/2020.,Dave/Ankush/Sergio are responsible for Module thermal cycling roll-out,after,[],[],Relation
The next update expected for Powerboard mass tester roll-out is 03/02/2020.,Timon/Karol are responsible for Powerboard mass tester roll-out,after,[],[],Relation
The next update expected for Barrel hybrid tendering is 03/02/2020.,Bart/Ash are responsible for Barrel hybrid tendering,after,[],[],Relation
The next update expected for Barrel powerboard tendering is 03/02/2020.,Carl/Timon are responsible for Barrel powerboard tendering,after,[],[],Relation
The next update expected for EC hybrid/powerboard tendering is 03/02/2020.,Uli/Kambiz/Dennis are responsible for EC hybrid/powerboard tendering,after,[],[],Relation
The next update expected for EC tooling design/roll-out is 03/02/2020.,Marc is responsible for EC tooling design/roll-out,after,[],[],Relation
The next update expected for Barrel tooling design finalisation/roll-out is 03/02/2020.,Sven is responsible for Barrel tooling design finalisation/roll-out,after,[],[],Relation
The minutes of the Strip Module Meeting were recorded on 21/01/20.,CERN,is participated by,[],[],Relation
The minutes of the Strip Module Meeting were recorded on 21/01/20.,Craig,is participated by,[],[],Relation
The minutes of the Strip Module Meeting were recorded on 21/01/20.,Ingo,is participated by,[],[],Relation
"Timon, Carl, and Satish were assigned to write a QC document for coils.",Timon,is participated by,[],[],Relation
"Timon, Carl, and Satish were assigned to write a QC document for coils.",Carl,is participated by,[],[],Relation
"Timon, Carl, and Satish were assigned to write a QC document for coils.",Satish,is participated by,[],[],Relation
Jens was responsible for monitoring the HV tab bonding.,Jens,is participated by,[],[],Relation
The roll-out of the hybrid crate was expected to begin on 03/02/2020.,Ash,is participated by,[],[],Relation
"Dave, Ankush, and Sergio were responsible for the roll-out of the module thermal cycling.",Dave,is participated by,[],[],Relation
"Dave, Ankush, and Sergio were responsible for the roll-out of the module thermal cycling.",Ankush,is participated by,[],[],Relation
"Dave, Ankush, and Sergio were responsible for the roll-out of the module thermal cycling.",Sergio,is participated by,[],[],Relation
Timon and Karol were assigned to roll out the powerboard mass tester.,Timon,is participated by,[],[],Relation
Timon and Karol were assigned to roll out the powerboard mass tester.,Karol,is participated by,[],[],Relation
Bart and Ash were responsible for the tendering of the barrel hybrid.,Bart,is participated by,[],[],Relation
Bart and Ash were responsible for the tendering of the barrel hybrid.,Ash,is participated by,[],[],Relation
Carl and Timon were assigned to tender the barrel powerboard.,Carl,is participated by,[],[],Relation
Carl and Timon were assigned to tender the barrel powerboard.,Timon,is participated by,[],[],Relation
"Uli, Kambiz, and Dennis were responsible for the tendering of the EC hybrid/powerboard.",Uli,is participated by,[],[],Relation
"Uli, Kambiz, and Dennis were responsible for the tendering of the EC hybrid/powerboard.",Kambiz,is participated by,[],[],Relation
"Uli, Kambiz, and Dennis were responsible for the tendering of the EC hybrid/powerboard.",Dennis,is participated by,[],[],Relation
Marc was assigned to design and roll out the EC tooling.,Marc,is participated by,[],[],Relation
Sven was responsible for finalizing and rolling out the barrel tooling design.,Sven,is participated by,[],[],Relation
Craig and Ingo would be in touch with the responsible individuals periodically for updates.,Craig,is participated by,[],[],Relation
Craig and Ingo would be in touch with the responsible individuals periodically for updates.,Ingo,is participated by,[],[],Relation
Luise provided a tutorial on uploading test results to the database.,Luise,is participated by,[],[],Relation
Strip Module Meeting Minutes,appear,will,[],[],Relation
