:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
Minutes,Strip Module Meeting,recorded,"['noted', 'documented', 'captured', 'logged']",[],0,Relation
Actions,over,carried,"['moved', 'brought', 'carried', 'held', 'bore', 'transported']",[],1,Relation
document,coils,written,"['crafted', 'authored', 'composed', 'created', 'penned']",[],2,Relation
brief,HV tab bonding,watched,"['noticed', 'gazed', 'viewed', 'saw', 'observed']",[],3,Relation
update,03/02/2020,expected,"['anticipated', 'forecasted', 'predicted', 'supposed', 'projected', 'hoped for']",[],4,Relation
roll-out,Hybrid crate,planned,"['organized', 'schemed', 'designed', 'arranged']",[],5,Relation
responsible,Dave/Ankush/Sergio,was,"['happened', 'occurred', 'existed', 'took place']",[],6,Relation
updates,Craig & Ingo,contacted,"['linked up', 'reached out\ncommunicated', 'connected', 'got through', 'reached', 'made a call', 'interacted', 'contacted', 'made contact', 'got in touch']",[],7,Relation
meeting,Introduction,held,"['retain', 'hold', 'keep', 'contain', 'possess']",[],8,Relation
tutorial,uploading test results to the database,given,"['provided', 'presented', 'offered', 'bestowed', 'handed']",[],9,Relation
You must contact the people listed as responsible periodically.,"Updates could be verbal, email or slides in a meeting",before,"['earlier', 'prior', 'precede', 'lead', 'precedes']",[],10,Relation
"Updates could be verbal, email or slides in a meeting.",People listed as responsible will be contacted periodically by Craig & Ingo for updates,at the same time,"['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']",[],11,Relation
People listed as responsible will be contacted periodically by Craig & Ingo for updates.,"Updates could be verbal, email or slides in a meeting",because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],12,Relation
Craig & Ingo will contact the people periodically.,You must contact the people listed as responsible periodically.,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],13,Relation
Craig & Ingo will contact the people periodically.,"Updates could be verbal, email or slides in a meeting",by,"['indicated', 'sign', 'marked', 'denoted']",[],14,Relation
The next update expected for HV tab bonding is 03/02/2020.,Jens is responsible for HV tab bonding,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],15,Relation
The next update expected for Hybrid crate roll-out is 03/02/2020.,Ash is responsible for Hybrid crate roll-out,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],16,Relation
The next update expected for Module thermal cycling roll-out is 03/02/2020.,Dave/Ankush/Sergio are responsible for Module thermal cycling roll-out,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],17,Relation
The next update expected for Powerboard mass tester roll-out is 03/02/2020.,Timon/Karol are responsible for Powerboard mass tester roll-out,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],18,Relation
