name:ID,type,concepts,synsets,:LABEL
Minutes,entity,[],[],Node
Strip Module Meeting,entity,[],[],Node
Actions,entity,[],[],Node
over,entity,[],[],Node
document,entity,[],[],Node
coils,entity,[],[],Node
brief,entity,[],[],Node
HV tab bonding,entity,[],[],Node
update,entity,[],[],Node
03/02/2020,entity,[],[],Node
roll-out,entity,[],[],Node
Hybrid crate,entity,[],[],Node
responsible,entity,[],[],Node
Dave/Ankush/Sergio,entity,[],[],Node
updates,entity,[],[],Node
Craig & Ingo,entity,[],[],Node
meeting,entity,[],[],Node
Introduction,entity,[],[],Node
tutorial,entity,[],[],Node
uploading test results to the database,entity,[],[],Node
You must contact the people listed as responsible periodically.,event,[],[],Node
"Updates could be verbal, email or slides in a meeting",event,[],[],Node
"Updates could be verbal, email or slides in a meeting.",event,[],[],Node
People listed as responsible will be contacted periodically by Craig & Ingo for updates,event,[],[],Node
People listed as responsible will be contacted periodically by Craig & Ingo for updates.,event,[],[],Node
Craig & Ingo will contact the people periodically.,event,[],[],Node
The next update expected for HV tab bonding is 03/02/2020.,event,[],[],Node
Jens is responsible for HV tab bonding,event,[],[],Node
The next update expected for Hybrid crate roll-out is 03/02/2020.,event,[],[],Node
Ash is responsible for Hybrid crate roll-out,event,[],[],Node
The next update expected for Module thermal cycling roll-out is 03/02/2020.,event,[],[],Node
Dave/Ankush/Sergio are responsible for Module thermal cycling roll-out,event,[],[],Node
The next update expected for Powerboard mass tester roll-out is 03/02/2020.,event,[],[],Node
Timon/Karol are responsible for Powerboard mass tester roll-out,event,[],[],Node
The next update expected for Barrel hybrid tendering is 03/02/2020.,event,[],[],Node
Bart/Ash are responsible for Barrel hybrid tendering,event,[],[],Node
The next update expected for Barrel powerboard tendering is 03/02/2020.,event,[],[],Node
Carl/Timon are responsible for Barrel powerboard tendering,event,[],[],Node
The next update expected for EC hybrid/powerboard tendering is 03/02/2020.,event,[],[],Node
Uli/Kambiz/Dennis are responsible for EC hybrid/powerboard tendering,event,[],[],Node
The next update expected for EC tooling design/roll-out is 03/02/2020.,event,[],[],Node
Marc is responsible for EC tooling design/roll-out,event,[],[],Node
The next update expected for Barrel tooling design finalisation/roll-out is 03/02/2020.,event,[],[],Node
Sven is responsible for Barrel tooling design finalisation/roll-out,event,[],[],Node
The minutes of the Strip Module Meeting were recorded on 21/01/20.,event,[],[],Node
CERN,entity,[],[],Node
Craig,entity,[],[],Node
Ingo,entity,[],[],Node
"Timon, Carl, and Satish were assigned to write a QC document for coils.",event,[],[],Node
Timon,entity,[],[],Node
Carl,entity,[],[],Node
Satish,entity,[],[],Node
Jens was responsible for monitoring the HV tab bonding.,event,[],[],Node
Jens,entity,[],[],Node
The roll-out of the hybrid crate was expected to begin on 03/02/2020.,event,[],[],Node
Ash,entity,[],[],Node
"Dave, Ankush, and Sergio were responsible for the roll-out of the module thermal cycling.",event,[],[],Node
Dave,entity,[],[],Node
Ankush,entity,[],[],Node
Sergio,entity,[],[],Node
Timon and Karol were assigned to roll out the powerboard mass tester.,event,[],[],Node
Karol,entity,[],[],Node
Bart and Ash were responsible for the tendering of the barrel hybrid.,event,[],[],Node
Bart,entity,[],[],Node
Carl and Timon were assigned to tender the barrel powerboard.,event,[],[],Node
"Uli, Kambiz, and Dennis were responsible for the tendering of the EC hybrid/powerboard.",event,[],[],Node
Uli,entity,[],[],Node
Kambiz,entity,[],[],Node
Dennis,entity,[],[],Node
Marc was assigned to design and roll out the EC tooling.,event,[],[],Node
Marc,entity,[],[],Node
Sven was responsible for finalizing and rolling out the barrel tooling design.,event,[],[],Node
Sven,entity,[],[],Node
Craig and Ingo would be in touch with the responsible individuals periodically for updates.,event,[],[],Node
