name:ID,type,concepts,synsets,numeric_id,:LABEL
Minutes,entity,[],[],0,Node
Strip Module Meeting,entity,[],[],1,Node
Actions,entity,[],[],2,Node
over,entity,[],[],3,Node
document,entity,[],[],4,Node
coils,entity,[],[],5,Node
brief,entity,[],[],6,Node
HV tab bonding,entity,[],[],7,Node
update,entity,[],[],8,Node
03/02/2020,entity,[],[],9,Node
roll-out,entity,[],[],10,Node
Hybrid crate,entity,[],[],11,Node
responsible,entity,[],[],12,Node
Dave/Ankush/Sergio,entity,[],[],13,Node
updates,entity,[],[],14,Node
Craig & Ingo,entity,[],[],15,Node
meeting,entity,[],[],16,Node
Introduction,entity,[],[],17,Node
tutorial,entity,[],[],18,Node
uploading test results to the database,entity,[],[],19,Node
You must contact the people listed as responsible periodically.,event,[],[],20,Node
"Updates could be verbal, email or slides in a meeting",event,[],[],21,Node
"Updates could be verbal, email or slides in a meeting.",event,[],[],22,Node
People listed as responsible will be contacted periodically by Craig & Ingo for updates,event,[],[],23,Node
People listed as responsible will be contacted periodically by Craig & Ingo for updates.,event,[],[],24,Node
Craig & Ingo will contact the people periodically.,event,[],[],25,Node
The next update expected for HV tab bonding is 03/02/2020.,event,[],[],26,Node
Jens is responsible for HV tab bonding,event,[],[],27,Node
The next update expected for Hybrid crate roll-out is 03/02/2020.,event,[],[],28,Node
Ash is responsible for Hybrid crate roll-out,event,[],[],29,Node
The next update expected for Module thermal cycling roll-out is 03/02/2020.,event,[],[],30,Node
Dave/Ankush/Sergio are responsible for Module thermal cycling roll-out,event,[],[],31,Node
The next update expected for Powerboard mass tester roll-out is 03/02/2020.,event,[],[],32,Node
Timon/Karol are responsible for Powerboard mass tester roll-out,event,[],[],33,Node
The next update expected for Barrel hybrid tendering is 03/02/2020.,event,[],[],34,Node
Bart/Ash are responsible for Barrel hybrid tendering,event,[],[],35,Node
The next update expected for Barrel powerboard tendering is 03/02/2020.,event,[],[],36,Node
Carl/Timon are responsible for Barrel powerboard tendering,event,[],[],37,Node
The next update expected for EC hybrid/powerboard tendering is 03/02/2020.,event,[],[],38,Node
Uli/Kambiz/Dennis are responsible for EC hybrid/powerboard tendering,event,[],[],39,Node
The next update expected for EC tooling design/roll-out is 03/02/2020.,event,[],[],40,Node
Marc is responsible for EC tooling design/roll-out,event,[],[],41,Node
The next update expected for Barrel tooling design finalisation/roll-out is 03/02/2020.,event,[],[],42,Node
Sven is responsible for Barrel tooling design finalisation/roll-out,event,[],[],43,Node
The minutes of the Strip Module Meeting were recorded on 21/01/20.,event,[],[],44,Node
CERN,entity,[],[],45,Node
Craig,entity,[],[],46,Node
Ingo,entity,[],[],47,Node
"Timon, Carl, and Satish were assigned to write a QC document for coils.",event,[],[],48,Node
Timon,entity,[],[],49,Node
Carl,entity,[],[],50,Node
Satish,entity,[],[],51,Node
Jens was responsible for monitoring the HV tab bonding.,event,[],[],52,Node
Jens,entity,[],[],53,Node
The roll-out of the hybrid crate was expected to begin on 03/02/2020.,event,[],[],54,Node
Ash,entity,[],[],55,Node
"Dave, Ankush, and Sergio were responsible for the roll-out of the module thermal cycling.",event,[],[],56,Node
Dave,entity,[],[],57,Node
Ankush,entity,[],[],58,Node
Sergio,entity,[],[],59,Node
Timon and Karol were assigned to roll out the powerboard mass tester.,event,[],[],60,Node
Karol,entity,[],[],61,Node
Bart and Ash were responsible for the tendering of the barrel hybrid.,event,[],[],62,Node
Bart,entity,[],[],63,Node
Carl and Timon were assigned to tender the barrel powerboard.,event,[],[],64,Node
"Uli, Kambiz, and Dennis were responsible for the tendering of the EC hybrid/powerboard.",event,[],[],65,Node
Uli,entity,[],[],66,Node
Kambiz,entity,[],[],67,Node
